'Ben Webster','Chelsea Bridge'
'Leadbelly','Goodnight Irene'
'Ray Charles','How Long Blues'
'The Kinks','Two Sisters'
'Adam Ant','Goody Two Shoes'
'Sam the Sham & the Pharaohs','Wooly Bully'
'Elvis Presley','Viva Las Vegas'
'Frank Sinatra','April in Paris'
'ABBA','Take a Chance on Me'
'John Coltrane','Cousin Mary'
'Nico','Chelsea Girls'
'Pussy Galore','Dick Johnson'
'Red Hot Chili Peppers','Give It Away'
'Louis Armstrong','Heebie Jeebies'
'Roberta Flack','The First Time Ever I Saw Your Face'
'The Dead Milkmen','Punk Rock Girl'
'Duke Ellington','After All'
'The Moody Blues','Tuesday Afternoon (Forever Afternoon)'
'Little Jimmy Dickens','May the Bird of Paradise Fly up Your Nose'
'MC5','High School'
'The Allman Brothers Band','Ramblin'''' Man'
'Bobby Bare','500 Miles Away from Home'
'Kevin Ayers','Stranger in Blue Suede Shoes'
'The American Analog Set','Magnificent Seventies'
'James Taylor','Carolina in My Mind'
'Soft Cell','Tainted Love'
'Adam Ant','Desperate But Not Serious'
'Neil Young','Harvest Moon'
'Tori Amos','Me and a Gun'
'Sylvia','Nobody'
'Cocteau Twins','Heaven or Las Vegas'
'P.M. Dawn','Set Adrift on Memory Bliss'
'Lefty Frizzell','Look What Thoughts Will Do'
'Mojave 3','Love Songs on the Radio'
'Bob Dylan','Forever Young'
'Kiss','Rock and Roll All Nite'
"'Miles Davis Quintet, Miles Davis'",'Footprints'
'Judas Priest','Living After Midnight'
'Public Enemy','Bring the Noise'
'The Rolling Stones','You Can''''t Always Get What You Want'
'Big Star','Thirteen'
'Sister Wynona Carr','I''''m a Pilgrim Traveler'
'Morrissey','Everyday Is Like Sunday'
'Urge Overkill','Sister Havana'
'The Clash','London Calling'
'The Jesus and Mary Chain','Taste of Cindy'
'Red House Painters','Down Colorful Hill'
'The Carpenters','Rainy Days and Mondays'
'T. Rex','20th Century Boy'
'The Beach Boys','Surfer Girl'
'The Lemonheads','It''''s a Shame About Ray'
'Frank Sinatra','The House I Live In'
'The Who','Won''''t Get Fooled Again'
'Brinsley Schwarz','Nervous on the Road (But Can''''t Stay at Home)'
'The Go-Go''''s','We Got the Beat'
'Rod Stewart','Reason to Believe'
'Barry Manilow','Looks Like We Made It'
'Aqua','Barbie Girl'
'The Jam','''''A'''' Bomb in Wardour Street'
'The Everly Brothers','Love Hurts'
'Stevie Wonder','My Cherie Amour'
'Boy George','The Crying Game'
'Asleep at the Wheel','Choo Choo Ch''''Boogie'
'The Flying Burrito Brothers','Wild Horses'
'Jeff Buckley','Last Goodbye'
'Willie Nelson','Blue Eyes Crying in the Rain'
'Five for Fighting','Superman (It''''s Not Easy)'
'John Denver','Sunshine on My Shoulders'
'The Beach Boys','Don''''t Worry Baby'
'Lou Reed','Perfect Day'
'The Shirelles','Will You Love Me Tomorrow'
'Quiet Riot','Bang Your Head (Metal Health)'
'Ornette Coleman','Free Jazz'
'Archie Shepp','Hambone'
'The Beach Boys','Caroline No'
'The Bangles','Walk Like an Egyptian'
'Loretta Lynn','Coal Miner''''s Daughter'
'The Small Faces','Lazy Sunday'
'Lisa Germano','Geek the Girl'
'Bobby Darin','Splish Splash'
'Bruce Springsteen','Darkness on the Edge of Town'
'Gene','For the Dead'
'Little Feat','Sailin'''' Shoes'
'Sam Cooke','Touch the Hem of His Garment'
'Z.Z. Hill','Someone Else Is Steppin'''' In'
'Dr. Dre','Let Me Ride'
'R.E.M.','Fall on Me'
'Fats Domino','The Fat Man'
'Miles Davis','Don''''t Blame Me'
'Buzzcocks','Everybody''''s Happy Nowadays'
'Johnny Ace','Pledging My Love'
'Bikini Kill','Suck My Left One'
'Scott Walker','Montague Terrace (In Blue)'
'The Beach Boys','In My Room'
'Frank Sinatra','The Christmas Song'
'Liz Phair','Fuck and Run'
'The McCoys','Hang on Sloopy'
'The Beatles','Revolution 9'
'Neil Young','Down by the River'
'The Buckinghams','Kind of a Drag'
'The Kinks','You Really Got Me'
'Nine Inch Nails','Wish'
'Lisa Loeb','Stay'
'Frank Sinatra','The Lady Is a Tramp'
'Cypress Hill','How I Could Just Kill a Man'
'Black Oak Arkansas','Jim Dandy'
'Fred Astaire','Puttin'''' on the Ritz'
'John Sebastian','Welcome Back'
'Madness','House of Fun'
'Miles Davis','Tutu'
'Sparks','Cool Places'
'Men at Work','Down Under'
'Paul McCartney','Mull of Kintyre'
"'Bobby ""Blue"" Bland""'",'Cry Cry Cry'
'David Bowie','Rebel Rebel'
'Neil Young','Cowgirl in the Sand'
'Dick Dale','Misirlou'
'Tindersticks','Here'
'Wanda Jackson','Riot in Cell Block #9'
'Kool Moe Dee','How Ya Like Me Now'
'Connie Francis','Where the Boys Are'
'Frank Sinatra','Stardust'
'Hank Snow','I''''m Movin'''' On'
'Ministry','Jesus Built My Hotrod'
'George Jones','He Stopped Loving Her Today'
'American Music Club','The Thorn in My Side Is Gone'
'Charles Wright','Express Yourself'
'The Rascals','Groovin'''''
'Wilco','A Shot in the Arm'
'The Guess Who','No Sugar Tonight/New Mother Nature'
'The Prodigy','Firestarter'
'T. Rex','Bang a Gong (Get It On)'
'The Rolling Stones','Gimme Shelter'
'Ian Dury','Sex & Drugs & Rock & Roll'
'Jerry Lee Lewis','Middle Age Crazy'
'Destiny''''s Child','Say My Name'
'Laura Lee','Wedlock Is a Padlock'
"'Johnny ""Guitar"" Watson""'",'Gangster of Love'
'The Flamin'''' Groovies','Slow Death'
'Julie London','Cry Me a River'
'John Denver','Rocky Mountain High'
'Cab Calloway','Everybody Eats When They Come to My House'
'Charley Patton','A Spoonful Blues'
'Joni Mitchell','Amelia'
'Albert Ayler','Spirits Rejoice'
'Atari Teenage Riot','Deutschland (Has Gotta Die!)'
'Eric Dolphy','Miss Ann'
'Aretha Franklin','Think'
"'Lee ""Scratch"" Perry""'",'Roast Fish and Cornbread'
'The Who','I Can See for Miles'
'Bow Wow Wow','I Want Candy'
'David Ackles','American Gothic'
'Metallica','Master of Puppets'
'Johnny Cash','Get Rhythm'
'Elmore James','The Sky Is Crying'
'Ray Stevens','The Streak'
'Paul Weller','Sunflower'
'Frank Sinatra','If I Had You'
'Van Morrison','Into the Mystic'
'Redman','Blow Your Mind'
'R.E.M.','Losing My Religion'
'Warren Zevon',"'""Poor'"
'Elmore James','Dust My Broom'
'Public Enemy','Fight the Power'
'Rod Stewart','Mandolin Wind'
'Phil Ochs','I Ain''''t Marching Anymore'
'Ike Quebec','Blue and Sentimental'
'The Andrews Sisters','Ac-Cent-Tchu-Ate the Positive'
'Tom Waits','Ol'''' 55'
'Rahsaan Roland Kirk','The Inflated Tear'
'Ray Charles','Blues Is My Middle Name'
'Ivy','The Best Thing'
'Monty Python','Always Look on the Bright Side of Life'
'Emmylou Harris','Boulder to Birmingham'
'Art Blakey','A Night in Tunisia'
'Queen','Crazy Little Thing Called Love'
'Chappaquiddick Skyline','Leave Me Alone'
'Ricky Martin','Livin'''' la Vida Loca'
'Mudhoney','Sweet Young Thing Ain''''t Sweet No More'
'Pink Floyd','See Emily Play'
'Digable Planets','Rebirth of Slick (Cool Like Dat)'
'LaVern Baker','See See Rider'
'The Beatles','Tomorrow Never Knows'
'Cheap Trick','I Want You to Want Me'
'Jerry Lee Lewis','Great Balls of Fire'
'Al Green','Let''''s Stay Together'
'MC5','Ramblin'''' Rose'
'Green Day','Basket Case'
'Primus','My Name Is Mud'
'Air Supply','All Out of Love'
'Pet Shop Boys','Where the Streets Have No Name (I Can''''t Take My Eyes off You)'
'David Bowie','Fashion'
'Bob Dylan','With God on Our Side'
'Bob Dylan','Lay Lady Lay'
'Sidney Bechet','Wild Cat Blues'
'Marvin Gaye','Inner City Blues (Make Me Wanna Holler)'
'Belle & Sebastian','Lazy Line Painter Jane'
'Rammstein','Du Hast'
'The Ramones','Cretin Hop'
'Burt Bacharach','Walk on By'
'Peter',"' Paul & Mary""'"
'Tommy Roe','Dizzy'
'Tom Petty','American Girl'
'Bad Company','Feel Like Makin'''' Love'
'Robert Johnson','Come on in My Kitchen'
'Air Supply','Making Love Out of Nothing at All'
'The Band','Rag Mama Rag'
'Bobby Fuller','I Fought the Law'
'The Lemonheads','My Drug Buddy'
'Freddy Fender','Before the Next Teardrop Falls'
'Elvis Costello','Veronica'
'Herman''''s Hermits','Mrs. Brown You''''ve Got a Lovely Daughter'
'The Pernice Brothers','Overcome by Happiness'
'Johnny Adams','Reconsider Me'
'Sam & Dave',"'""Hold on'"
'Kruder & Dorfmeister','High Noon'
'Madness','Madness'
'Manic Street Preachers','She Is Suffering'
'Foreigner','Waiting for a Girl Like You'
'Rod Stewart','Maggie May'
'Beastie Boys','Hey Ladies'
'Roy Ayers','Everybody Loves the Sunshine'
'Helmet','Unsung'
'Cyndi Lauper','She Bop'
'Nick Lowe','I Knew the Bride (When She Used to Rock & Roll)'
'Willie Nelson','Night Life'
'Marcos Valle','Crickets Sing for Anamaria'
'The Cult','Love Removal Machine'
'David Bowie','Hang Onto Yourself'
'Bob Dylan','Hurricane'
'Junior Wells','Hoodoo Man Blues'
'Leonard Cohen','Everybody Knows'
'Johnny Cash','Delia''''s Gone'
'Tone-Loc','Wild Thing'
'Gram Parsons','Hickory Wind'
'Lou Reed','Street Hassle'
'The Avalanches','Since I Left You'
'Big Star','The Ballad of el Goodo'
'Frank Sinatra','This Love of Mine'
'Willie Nelson','A Uncloudy Day'
'Paul Revere & the Raiders','Just Like Me'
'Louis Armstrong','Struttin'''' With Some Barbecue'
'Poison','Talk Dirty to Me'
'Albert King','Born Under a Bad Sign'
'The Stooges','T.V. Eye'
'U2','I Will Follow'
'The Rolling Stones','No Expectations'
'American Music Club','Johnny Mathis'''' Feet'
'The Cyrkle','Red Rubber Ball'
'Hank Williams','Move It on Over'
'4hero','Universal Love'
'The Who','Sparks'
'New Order','Blue Monday'
'Debbie Gibson','Shake Your Love'
'Charlie Rich','Life''''s Little Ups and Downs'
'Nancy Sinatra','These Boots Are Made for Walkin'''''
'Public Enemy','Don''''t Believe the Hype'
'Ministry','Stigmata'
'Harry Nilsson','Nobody Cares About the Railroads Anymore'
'Elton John','Madman Across the Water'
'Van Morrison','Moondance'
'Marvin Gaye','I Heard It Through the Grapevine'
'Barenaked Ladies','Jane'
'Tim Buckley','Dolphins'
'Albert Ayler','Holy Ghost'
'Charlie Parker','A Night in Tunisia'
'Aretha Franklin','I Never Loved a Man (The Way I Love You)'
'The Rolling Stones','Fool to Cry'
'Heaven 17','(We Don''''t Need This) Fascist Groove Thang'
'Radiohead','Fake Plastic Trees'
'Throwing Muses','Hate My Way'
'Deee-Lite','Groove Is in the Heart'
'My Bloody Valentine','To Here Knows When'
'Al Green','I''''m Still in Love With You'
'The Idle Race','Imposters of Life''''s Magazine'
'The Smiths','The Boy With the Thorn in His Side'
'Billy Joel','Just the Way You Are'
'Limp Bizkit','Rollin'''' (Air Raid Vehicle)'
'Freddie & the Dreamers','Do the Freddie'
'Violent Femmes','Kiss Off'
'Frank Sinatra','Moonlight in Vermont'
'Todd Rundgren','Hello It''''s Me'
'Esquivel','Mucha Muchacha'
'Bobby Byrd','I Know You Got Soul'
'Red Hot Chili Peppers','True Men Don''''t Kill Coyotes'
"'Cream, Eric Clapton'",'White Room'
'Neil Diamond',"'""Cherry'"
'Billie Holiday','God Bless the Child'
'Simon & Garfunkel','The Only Living Boy in New York'
'Dionne Warwick','I''''ll Never Fall in Love Again'
'Van Morrison','Madame George'
'Humble Pie','30 Days in the Hole'
'The White Stripes','Hotel Yorba'
'XTC','Making Plans for Nigel'
'Body Count','Body Count'
'The Lovin'''' Spoonful','Summer in the City'
'Bettie Serveert','Tom Boy'
'The Doors','Ship of Fools'
'Alicia Keys','Fallin'''''
'Bruce Springsteen','Born to Run'
'Oasis','Wonderwall'
'Bryan Adams','Run to You'
'Elvis Presley','Good Rockin'''' Tonight'
'Randy Newman','Political Science'
'Amy Grant','Baby Baby'
'The Undertones','Get Over You'
'The Easybeats','Friday on My Mind'
'The Blues Brothers','Soul Man'
'The Beach Boys','I Get Around'
"'Bobby ""Blue"" Bland""'",'Stormy Monday Blues'
'Bob Dylan','To Ramona'
'Roxy Music','More Than This'
'Jeff Beck','Beck''''s Bolero'
'The Beatles','Only a Northern Song'
'Dr. Octagon','Blue Flowers'
'Minor Threat','Out of Step'
'The Boo Radleys','I Hang Suspended'
'Roger Miller','Dang Me'
'Laurie Anderson','O Superman (For Massenet)'
'Crowded House','Now We''''re Getting Somewhere'
'The Band','The Weight'
'The Lemonheads','Alison''''s Starting to Happen'
'Brick','Dazz'
'James Taylor','How Sweet It Is (To Be Loved by You)'
'Joe Ely','Fingernails'
'Neil Diamond',"'""Girl'"
'Eddie Cochran','Skinny Jim'
'Devo','Girl U Want'
'They Might Be Giants','Don''''t Let''''s Start'
'The Beau Brummels','Just a Little'
'Esquerita','Rockin'''' the Joint'
'Patsy Cline','She''''s Got You'
'Heart','Crazy on You'
'R.E.M.','Man on the Moon'
'India.Arie','Video'
'Slade','Cum on Feel the Noize'
'Peter Sellers','Any Old Iron'
'The Go-Go''''s','Head over Heels'
'The Meters','Cissy Strut'
'The Animals','Don''''t Let Me Be Misunderstood'
'The Band','King Harvest (Has Surely Come)'
'The Beach Boys','God Only Knows'
'Janet Jackson','What Have You Done for Me Lately'
'A Tribe Called Quest','Scenario'
'Warren Zevon',"'""Lawyers'"
'Charles Mingus','Goodbye Pork Pie Hat'
'George Clinton','Atomic Dog'
'Sidney Bechet','When the Saints Go Marching In'
'The Stooges','I Wanna Be Your Dog'
'Def Leppard','Pour Some Sugar on Me'
'Iggy Pop','Lust for Life'
'Nana Mouskouri','Love Me Tender'
'Otis Redding','These Arms of Mine'
'The Jam','That''''s Entertainment'
'Frank Sinatra','You Go to My Head'
'Curtis Mayfield','People Get Ready'
'Glen Campbell','Guess I''''m Dumb'
'Elliott Smith','Miss Misery'
'The Auteurs','Junk Shop Clothes'
'Muddy Waters','I''''m Ready'
'Travis Tritt','Ten Feet Tall and Bulletproof'
"'Elvis Costello, The Dirty Dozen Brass Band'",'Veronica'
'Aerosmith','Mama Kin'
'Willie Nelson','Always on My Mind'
'The Adverts','Gary Gilmore''''s Eyes'
'Slayer','South of Heaven'
'New Edition','Candy Girl'
'Chuck Berry','You Never Can Tell'
'The Band','The Unfaithful Servant'
'Billy Bragg','Greetings to the New Brunette'
"'John Lennon, The Beatles'",'No Reply'
'Bruce Springsteen','Atlantic City'
'Gin Blossoms','Til I Hear It from You'
'Mott the Hoople','Death May Be Your Santa Claus'
'Bob Dylan','Desolation Row'
'Carole King','No Easy Way Down'
'Mott the Hoople','Rock and Roll Queen'
'They Might Be Giants','Purple Toupee'
'Willie Nelson','Funny How Time Slips Away'
'Swervedriver','Duel'
'Todd Rundgren','Zen Archer'
'Louis Jordan','Choo Choo Ch''''Boogie'
'Unwound','MK Ultra'
'The Flatlanders','Dallas'
'Stereolab','Lo Boob Oscillator'
'The Turtles','You Showed Me'
'King Oliver','King Porter Stomp'
'Billie Holiday',"'""Lover'"
'The Stooges','L.A. Blues'
'Eddie & the Hot Rods','Do Anything You Wanna Do'
'Fred Astaire','A Fine Romance'
'The Zombies','Beechwood Park'
'The Beach Boys','Surfin'''' U.S.A.'
'The Move','Flowers in the Rain'
'Dead Kennedys','Holiday in Cambodia'
'Cat Stevens','The First Cut Is the Deepest'
'Johnny Burnette','The Train Kept A Rollin'''''
'Paul Mauriat','Love Is Blue'
'Paul McCartney','Another Day'
'Johnny Cash','Cry Cry Cry'
'The Ramones','Sheena Is a Punk Rocker'
'Jackson Browne','Late for the Sky'
